compound_name	mzmed	rtmed	Scan	ionmode
2-hydroxydecanoic acid	187.13381078	380.0118	153	NEG
2-hydroxydecanoic acid	187.13391759	379.2468	150	NEG
2-hydroxydecanoic acid	187.13391759	379.2468	154	NEG
2-hydroxydecanoic acid	187.13396337	378.1938	151	NEG
2-hydroxydecanoic acid	187.13396337	378.1938	155	NEG
Palmitic acid	255.23290262	447.738	396	NEG
Palmitic acid	255.23290262	447.738	400	NEG
Palmitic acid	255.23303996	445.8432	397	NEG
Palmitic acid	255.23303996	445.8432	401	NEG
Palmitic acid	255.23303996	445.8942	398	NEG
Palmitic acid	255.23303996	445.8942	402	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.1042	446	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.1042	450	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.16	447	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.16	451	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.2098	448	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.2098	452	NEG
Oleic acid	281.24845705	456.6348	473	NEG
Oleic acid	281.24845705	456.6348	481	NEG
Oleic acid	281.24885204	457.5012	474	NEG
Oleic acid	281.24885204	457.5012	482	NEG
Oleic acid	281.24845705	456.7428	475	NEG
Oleic acid	281.24845705	456.7428	483	NEG
Stearic acid	283.26428748	476.01	485	NEG
Stearic acid	283.26428748	476.01	490	NEG
Stearic acid	283.2641654	477.1458	486	NEG
Stearic acid	283.2641654	477.1458	491	NEG
Stearic acid	283.26428748	476.112	487	NEG
Stearic acid	283.26428748	476.112	492	NEG
Stearic acid	283.26447293	491.2122	488	NEG
Stearic acid	283.26447293	491.2122	493	NEG
Eicosadienoic Acid	307.26421943	587.253	639	NEG
Eicosadienoic Acid	307.26421943	587.304	640	NEG
Eicosadienoic Acid	307.26421943	587.3628	641	NEG
Eicosadienoic Acid	307.26421943	587.427	642	NEG
Lithocholic Acid	375.29035403	507.8622	992	NEG
Lithocholic Acid	375.29035403	507.8622	997	NEG
Lithocholic Acid	375.29050663	506.847	993	NEG
Lithocholic Acid	375.29050663	506.847	998	NEG
Lithocholic Acid	375.29035403	507.9678	994	NEG
Lithocholic Acid	375.29035403	507.9678	999	NEG
Lithocholic Acid	375.29035403	520.977	995	NEG
Lithocholic Acid	375.29035403	520.977	1000	NEG
Ursodeoxycholic Acid	391.28551198	390.8922	1012	NEG
Ursodeoxycholic Acid	391.28551198	390.8922	1022	NEG
Deoxycholic Acid	391.28551198	390.9948	1014	NEG
Deoxycholic Acid	391.28551198	390.9948	1024	NEG
Deoxycholic Acid	391.28596977	390.189	1015	NEG
Deoxycholic Acid	391.28596977	390.189	1025	NEG
Deoxycholic Acid	391.2855973	460.6398	1016	NEG
Deoxycholic Acid	391.2855973	460.6398	1026	NEG
Deoxycholic Acid	391.2855973	460.6962	1017	NEG
Deoxycholic Acid	391.2855973	460.6962	1027	NEG
Deoxycholic Acid	391.2855973	460.7478	1018	NEG
Deoxycholic Acid	391.2855973	460.7478	1028	NEG
Deoxycholic Acid	391.2855973	460.7988	1019	NEG
Deoxycholic Acid	391.2855973	460.7988	1029	NEG
Deoxycholic Acid	391.2855973	460.851	1020	NEG
Deoxycholic Acid	391.2855973	460.851	1030	NEG
Cholic Acid	407.28049368	401.0268	1062	NEG
Cholic Acid	407.28049368	401.0268	1067	NEG
Cholic Acid	407.28049368	401.0268	1072	NEG
Cholic Acid	407.28049368	401.1018	1063	NEG
Cholic Acid	407.28049368	401.1018	1068	NEG
Cholic Acid	407.28049368	401.1018	1073	NEG
Cholic Acid	407.28049368	401.1558	1064	NEG
Cholic Acid	407.28049368	401.1558	1069	NEG
Cholic Acid	407.28049368	401.1558	1074	NEG
Cholic Acid	407.28049368	401.2122	1065	NEG
Cholic Acid	407.28049368	401.2122	1070	NEG
Cholic Acid	407.28049368	401.2122	1075	NEG
Taurolithocholic Acid	482.29433192	433.689	1242	NEG
Taurolithocholic Acid	482.29433192	433.689	1247	NEG
Taurolithocholic Acid	482.29433192	434.8392	1243	NEG
Taurolithocholic Acid	482.29433192	434.8392	1248	NEG
Taurolithocholic Acid	482.29433192	433.8012	1244	NEG
Taurolithocholic Acid	482.29433192	433.8012	1249	NEG
Taurolithocholic Acid	482.29433192	433.8552	1245	NEG
Taurolithocholic Acid	482.29433192	433.8552	1250	NEG
Taurohyodeoxycholic acid	498.28876439	312.8688	1262	NEG
Taurohyodeoxycholic acid	498.28876439	312.8688	1267	NEG
Taurohyodeoxycholic acid	498.28876439	312.921	1263	NEG
Taurohyodeoxycholic acid	498.28876439	312.921	1268	NEG
Taurohyodeoxycholic acid	498.28876439	312.975	1264	NEG
Taurohyodeoxycholic acid	498.28876439	312.975	1269	NEG
Taurohyodeoxycholic acid	498.28876439	313.029	1265	NEG
Taurohyodeoxycholic acid	498.28876439	313.029	1270	NEG
Taurohyocholic Acid	514.28417658	299.052	1307	NEG
Taurohyocholic Acid	514.28417658	299.052	1312	NEG
Taurohyocholic Acid	514.28417658	299.1018	1308	NEG
Taurohyocholic Acid	514.28417658	299.1018	1313	NEG
Taurohyocholic Acid	514.28417658	299.1528	1309	NEG
Taurohyocholic Acid	514.28417658	299.1528	1314	NEG
Taurohyocholic Acid	514.28417658	299.2038	1310	NEG
Taurohyocholic Acid	514.28417658	299.2038	1315	NEG
12-Hydroxyeicosapentaenoic Acid	317.21236411	460.302	1566	NEG
12,13-Dihydroxy-Octadecenoic Acid	313.23925153	423.837	1567	NEG
13-Hydroxyoctadecadienoic Acid	295.22835622	471.3618	1568	NEG
13,14-Dihydro-15-Keto Prostaglandin D2	351.21776258	367.1358	1569	NEG
2-Methylglutarate	145.05061592	137.0388	1570	NEG
2-Phosphoglycerate	184.9855797	44.44002	1571	NEG
3-Hydroxyglutaric Acid	147.02992741	44.391	1572	NEG
3-Methoxy-4-Hydroxymandelate	197.045624	101.997	1573	NEG
4-Coumarate	163.04021609	203.6532	1574	NEG
8-Hete	319.22797376	485.4768	1575	NEG
9-Hydroxyeicosatetraenoic Acid	319.22857677	488.7882	1576	NEG
9,10-Dihydroxyoctadecenoic Acid	313.23847988	423.5082	1577	NEG
ADP-Glucose	588.07506838	43.431	1578	NEG
Aldosterone	359.18586401	259.179	1579	NEG
Caffeate	179.0348432	169.7562	1580	NEG
Citrate	191.01973433	60.729	1581	NEG
Deoxyuridine Monophosphate	307.03346419	59.14398	1582	NEG
Dihydroorotate	157.02550234	45.132	1583	NEG
Docosahexaenoic Acid (22:6 N-3)	327.23263692	547.6692	1584	NEG
DTDP-D-Glucose	563.0681827	44.424	1585	NEG
Estrone	269.15381626	365.1798	1586	NEG
Ferulate	193.05062439	208.2222	1587	NEG
GABA	102.05605266	39.738	1588	NEG
Galactarate	209.03035135	42.21198	1589	NEG
Galactose 1-Phosphate	259.02230187	40.596	1590	NEG
Gluconate	195.05102559	41.949	1591	NEG
Glycerol 3-Phosphate	171.00631729	42.27102	1592	NEG
Glycochenodeoxycholic Acid	448.30595523	421.998	1593	NEG
Glycocholic Acid	464.30090919	362.706	1594	NEG
Glycoursodeoxycholic Acid	448.30603935	350.3028	1595	NEG
Indoxyl Sulfate	212.0022858	160.0992	1596	NEG
Inosine	267.07351747	85.623	1597	NEG
Inosine Monophosphate	347.03984603	45.32898	1598	NEG
Isocitrate	191.01986823	44.59302	1599	NEG
Leukotriene B4	335.22350839	410.2938	1600	NEG
Mannose 6-Phosphate	259.02246134	39.849	1601	NEG
Myristic Acid	227.20135359	546.2778	1602	NEG
Orotate	155.00990287	45.00702	1603	NEG
Oxoglutarate	145.0143045	46.88298	1604	NEG
Prostaglandin E2	351.21768618	336.9612	1605	NEG
Saccharate	209.03025878	41.77302	1606	NEG
Sebacate	201.11345867	280.5978	1607	NEG
Sedoheptulose	209.06659351	41.80098	1608	NEG
Stachyose	665.21370889	39.92202	1609	NEG
Tartrate	149.00911555	44.09598	1610	NEG
Tryptophan	203.08238003	130.266	1611	NEG
Uridine Diphosphate-N-Acetylglucosamine	606.07402877	42.16398	1612	NEG
Uridine Diphosphategalactose	565.04808834	42.01002	1613	NEG
Xanthurenic Acid	204.02997728	135.5958	1614	NEG
