compound_name	Scan	mzmed	rtmed	ionmode	pccid
Myristoyl-L-carnitine	4500	372.3113461	452.5578	POS	53477791
Myristoyl-L-carnitine	4501	372.3113461	452.613	POS	53477791
Myristoyl-L-carnitine	4502	372.3113461	452.6658	POS	53477791
Myristoyl-L-carnitine	4503	372.3113461	452.7198	POS	53477791
Myristoyl-L-carnitine	4510	372.31265837	453.348	POS	53477791
Myristoyl-L-carnitine	4511	372.31265837	453.402	POS	53477791
Myristoyl-L-carnitine	4512	372.31265837	453.456	POS	53477791
Myristoyl-L-carnitine	4513	372.31265837	453.51	POS	53477791
Myristoyl-L-carnitine	4514	372.31265837	453.564	POS	53477791
Glycochenodeoxycholic Acid	4558	450.3213878	456.6618	POS	12544
Glycochenodeoxycholic Acid	4559	450.3213878	456.7158	POS	12544
Glycochenodeoxycholic Acid	4560	450.3213878	456.7692	POS	12544
Glycochenodeoxycholic Acid	4561	450.3213878	456.8202	POS	12544
Glycochenodeoxycholic Acid	4562	450.3213878	456.87	POS	12544
(3R)-3-Hydroxyoleyl-L-carnitine	4713	442.35286446	470.7318	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4721	442.35307809	471.387	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4722	442.35307809	471.441	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4723	442.35307809	471.495	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4725	442.35307809	471.603	POS	129637446
Arachidonyl-L-carnitine	4748	448.34376449	473.3382	POS	136212424
Arachidonyl-L-carnitine	4749	448.34376449	473.3928	POS	136212424
Arachidonyl-L-carnitine	4750	448.34376449	473.4468	POS	136212424
Arachidonyl-L-carnitine	4751	448.34376449	473.5008	POS	136212424
Arachidonyl-L-carnitine	4752	448.34376449	473.5548	POS	136212424
Palmitoyl-L-carnitine chloride	4950	400.34503342	489.3	POS	167759
Palmitoyl-L-carnitine chloride	4951	400.34503342	489.354	POS	167759
Palmitoyl-L-carnitine chloride	4952	400.34503342	489.408	POS	167759
Palmitoyl-L-carnitine chloride	4953	400.34503342	489.462	POS	167759
Palmitoyl-L-carnitine chloride	4965	400.34509445	490.359	POS	167759
Oleoyl-L-carnitine	5040	426.35836066	496.4892	POS	46907933
Arachidonyl-L-carnitine	5042	448.33970277	496.5972	POS	136212424
Oleoyl-L-carnitine	5052	426.35985604	497.3838	POS	46907933
Oleoyl-L-carnitine	5053	426.35985604	497.4378	POS	46907933
Oleoyl-L-carnitine	5054	426.35985604	497.4918	POS	46907933
Oleoyl-L-carnitine	5055	426.35985604	497.547	POS	46907933
Arachidonyl-L-carnitine	5068	448.33976381	498.5448	POS	136212424
Glycolithocholic Acid	5106	434.32651222	501.1188	POS	115245
Glycolithocholic Acid	5107	434.32651222	501.1728	POS	115245
Glycolithocholic Acid	5108	434.32651222	501.2268	POS	115245
Glycolithocholic Acid	5109	434.32651222	501.2808	POS	115245
Glycolithocholic Acid	5121	434.32626808	502.152	POS	115245
Oleoyl-L-carnitine	5224	426.35778083	509.8758	POS	46907933
Oleoyl-L-carnitine	5225	426.35778083	509.946	POS	46907933
Oleoyl-L-carnitine	5237	426.35747565	511.0992	POS	46907933
Oleoyl-L-carnitine	5238	426.35747565	511.1808	POS	46907933
Oleoyl-L-carnitine	5245	426.35771979	511.968	POS	46907933
Stearoyl-L-carnitine	5311	428.37580464	519.1782	POS	3006797
Stearoyl-L-carnitine	5312	428.37580464	519.2322	POS	3006797
Stearoyl-L-carnitine	5313	428.37580464	519.2862	POS	3006797
Stearoyl-L-carnitine	5314	428.37580464	519.3408	POS	3006797
Stearoyl-L-carnitine	5315	428.37580464	519.3948	POS	3006797
Arachidonyl-L-carnitine	5407	448.34205264	526.173	POS	136212424
Arachidonyl-L-carnitine	5408	448.34205264	526.2432	POS	136212424
Arachidonyl-L-carnitine	5409	448.34205264	526.3158	POS	136212424
Arachidonyl-L-carnitine	5410	448.34205264	526.389	POS	136212424
Arachidonyl-L-carnitine	5411	448.34205264	526.4622	POS	136212424
Arachidonyl-L-carnitine	5418	448.34205264	527.1192	POS	136212424
Arachidonyl-L-carnitine	5419	448.34205264	527.2032	POS	136212424
Arachidonyl-L-carnitine	5420	448.34205264	527.2872	POS	136212424
Arachidonyl-L-carnitine	5421	448.34205264	527.37	POS	136212424
Arachidonyl-L-carnitine	5422	448.34205264	527.454	POS	136212424
Stearoyl-L-carnitine	5468	428.37336198	531.6918	POS	3006797
Stearoyl-L-carnitine	5469	428.37336198	531.7458	POS	3006797
Stearoyl-L-carnitine	5470	428.37336198	531.801	POS	3006797
Stearoyl-L-carnitine	5472	428.37336198	531.909	POS	3006797
Stearoyl-L-carnitine	5493	428.37330055	533.5602	POS	3006797
